movieId,title,genres,predicted_rating
149352,Daddy's Home (2015),Comedy,5.0
1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime,5.0
7669,Pride and Prejudice (1995),Drama|Romance,5.0
92420,Chronicle (2012),Action|Sci-Fi|Thriller,5.0
82852,Little Fockers (2010),Comedy,5.0
7371,Dogville (2003),Drama|Mystery|Thriller,5.0
91094,"Muppets, The (2011)",Children|Comedy|Musical,5.0
1234,"Sting, The (1973)",Comedy|Crime,5.0
319,Shallow Grave (1994),Comedy|Drama|Thriller,5.0
1272,Patton (1970),Drama|War,5.0
3088,Harvey (1950),Comedy|Fantasy,5.0
6385,Whale Rider (2002),Drama,5.0
1257,Better Off Dead... (1985),Comedy|Romance,5.0
80693,It's Kind of a Funny Story (2010),Comedy|Drama,5.0
1394,Raising Arizona (1987),Comedy,4.99
1223,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi,4.96
1912,Out of Sight (1998),Comedy|Crime|Drama|Romance|Thriller,4.96
1299,"Killing Fields, The (1984)",Drama|War,4.95
1243,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama,4.95
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,4.94
